profile_id,company_id,company_name,hq_country,employee_count,industry,description,website,ownership_status,total_funding_usd,latest_round
jane-doe-123,acme-analytics,Acme Analytics,DE,120,Software,B2B analytics platform for logistics,https://acme-analytics.example,investor_backed,25000000,Series B 2024-06
jane-doe-123,google,Google,US,180000,Internet,Search engine,https://google.com,public,,
jane-doe-123,fleetmarkt,FleetMarkt,DE,60,Marketplace,Vertical marketplace for used commercial vehicles,https://fleetmarkt.example,bootstrapped,,
john-smith-456,acme-analytics,Acme Analytics,DE,120,Software,B2B analytics platform for logistics,https://acme-analytics.example,investor_backed,25000000,Series B 2024-06
john-smith-456,tlv-secure,TLV Secure,IL,85,Cybersecurity,Cloud security posture management,https://tlvsecure.example,investor_backed,40000000,Series A 2023-11
john-smith-456,fleetmarkt,FleetMarkt,DE,60,Marketplace,Vertical marketplace for used commercial vehicles,https://fleetmarkt.example,bootstrapped,,
ava-cohen-789,tlv-secure,TLV Secure,IL,85,Cybersecurity,Cloud security posture management,https://tlvsecure.example,investor_backed,40000000,Series A 2023-11
ava-cohen-789,paris-fintech,Paris Fintech,FR,40,Financial Services,SMB invoicing and payments,https://parisfintech.example,,,
ava-cohen-789,medimarket,MediMarket,IL,35,Marketplace,Marketplace connecting clinics with medical equipment suppliers,https://medimarket.example,bootstrapped,,
ava-cohen-789,nyc-startup,NYC Startup,US,60,Software,US-based SaaS,https://nycstartup.example,investor_backed,12000000,Series A 2024-01
